language,code,efficiency_score
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },65
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),72
Python,x = [i**2 for i in range(10000)],73
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } },73
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },65
Python,"from math import sqrt
print(sqrt(16))",58
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",78
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },77
JavaScript,console.log([...Array(10).keys()]);,53
Python,print('Hello World'),72
Python,"i=0
while i<10:
  print(i)
  i+=1",66
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",71
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },68
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",68
Python,"from math import sqrt
print(sqrt(16))",80
Python,for i in range(10): print(i),55
Python,"import numpy as np
a=np.arange(10)
print(a)",85
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),88
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",68
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },87
Python,"import numpy as np
a=np.arange(10)
print(a)",83
JavaScript,console.log('Hello World');,69
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",51
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } },89
Python,print([i for i in range(10)]),80
JavaScript,for(let i=0;i<10;i++){console.log(i);},67
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",70
Python,print('Hello World'),75
JavaScript,function fact(n){return n==0?1:n*fact(n-1);},77
JavaScript,console.log('Hello World');,70
JavaScript,console.log(Math.sqrt(16));,94
Python,print('Hello World'),70
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",75
Python,print([i for i in range(10)]),60
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",78
JavaScript,console.log('Hello World');,66
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",80
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } },71
JavaScript,console.log('Hello World');,70
JavaScript,console.log([...Array(10).keys()]);,71
JavaScript,console.log('Hello World');,74
JavaScript,console.log('Hello World');,70
Python,"from math import sqrt
print(sqrt(16))",59
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",73
JavaScript,function fact(n){return n==0?1:n*fact(n-1);},59
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),89
Python,print([i for i in range(10)]),81
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",71
Python,"i=0
while i<10:
  print(i)
  i+=1",55
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",51
JavaScript,console.log(Math.sqrt(16));,96
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",69
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },94
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },69
Java,public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } },81
JavaScript,console.log(Math.sqrt(16));,88
JavaScript,function fact(n){return n==0?1:n*fact(n-1);},59
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res",81
JavaScript,console.log(Math.sqrt(16));,93
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },68
Python,def factorial(n): return 1 if n==0 else n*factorial(n-1),75
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",68
Python,"a=[]
for i in range(10000): a.append(i)",58
